Bufonia macropetala subsp. willkommiana
Cerastium brachypetalum subsp. brachypetalum
Cerastium diffusum subsp. diffusum
Cerastium fontanum subsp. vulgare
Cerastium glomeratum
Cerastium ramosissimum
Cerastium semidecandrum
Chaetonychia cymosa
Corrigiola litoralis subsp. litoralis
Corrigiola litoralis subsp. perez-larae
Corrigiola telephiifolia var. annua
Corrigiola telephiifolia var. imbricata
Corrigiola telephiifolia var. telephiifolia
Cucubalus baccifer
Dianthus armeria subsp. armeria
Dianthus broteri
Dianthus crassipes
Dianthus hyssopifolius subsp. hyssopifolius
Dianthus langeanus
Dianthus laricifolius subsp. caespitosifolius
Dianthus laricifolius subsp. laricifolius
Dianthus lusitanus
Herniaria ciliolata subsp. robusta
Herniaria cinerea
Herniaria glabra var. glaberrima
Herniaria glabra var. setulosa
Herniaria hirsuta subsp. hirsuta
Herniaria lusitanica subsp. lusitanica
Herniaria scabrida subsp. guadarramica
Herniaria scabrida subsp. scabrida
Holosteum umbellatum
Honckenya peploides
Illecebrum verticillatum
Loeflingia baetica
Loeflingia hispanica
Lychnis flos-cuculi subsp. flos-cuculi
Minuartia hybrida subsp. hybrida
Minuartia mediterranea
Minuartia recurva
Moehringia pentandra
Moehringia trinervia
Moenchia erecta subsp. erecta
Moenchia erecta subsp. octandra
Myosoton aquaticum
Ortegia hispanica
Paronychia argentea var. angustifolia
Paronychia argentea var. argentea
Paronychia echinulata var. echinulata
Paronychia polygonifolia var. velucensis
Petrorhagia dubia
Petrorhagia nanteuilii
Petrorhagia saxifraga
Polycarpon alsinifolium
Polycarpon tetraphyllum subsp. diphyllum
Polycarpon tetraphyllum subsp. tetraphyllum
Rhodalsine geniculata
Sagina apetala
Sagina maritima
Sagina nodosa
Sagina procumbens
Sagina sabuletorum
Sagina saginoides
Sagina subulata
Saponaria officinalis
Scleranthus annuus
Scleranthus delortii
Scleranthus perennis
Scleranthus polycarpos
Scleranthus verticillatus
Silene acutifolia
Silene bellidifolia
Silene boryi var. duriensis
Silene ciliata
Silene colorata
Silene conica subsp. conica
Silene coutinhoi
Silene cretica
Silene decipiens
Silene dioica
Silene disticha
Silene fuscata
Silene gallica
Silene gracilis
Silene inaperta subsp. inaperta
Silene laeta
Silene latifolia
Silene legionensis
Silene littorea subsp. littorea
Silene marizii
Silene mellifera
Silene micropetala
Silene muscipula
Silene niceensis
Silene nocturna
Silene nutans subsp. nutans
Silene portensis subsp. portensis
Silene psammitis subsp. psammitis
Silene ramosissima
Silene rubella subsp. rubella
Silene scabriflora subsp. scabriflora
Silene scabriflora subsp. tuberculata
Silene sclerocarpa
Silene stricta
Silene uniflora subsp. uniflora
Silene vulgaris subsp. vulgaris
Spergula arvensis
Spergula morisonii
Spergula pentandra
Spergularia australis
Spergularia bocconei
Spergularia capillacea
Spergularia fimbriata
Spergularia heldreichii
Spergularia marina
Spergularia media
Spergularia purpurea
Spergularia rubra
Spergularia rupicola
Spergularia segetalis
Spergularia tangerina
Stellaria alsine
Stellaria graminea
Stellaria holostea
Stellaria media
Stellaria neglecta
Vaccaria hispanica var. grandiflora
Vaccaria hispanica var. hispanica
Velezia rigida
Drosera intermedia
Drosera rotundifolia
Drosophyllum lusitanicum
Frankenia boissieri
Frankenia laevis
Frankenia pulverulenta
Glinus lotoides
Mollugo cerviana
Armeria humilis subsp. humilis
Armeria humilis subsp. odorata
Armeria langei subsp. daveaui
Armeria linkiana
Armeria macrophylla
Armeria maritima subsp. maritima
Armeria pubigera
Armeria pungens
Armeria transmontana
Armeria arenaria subsp. segoviensis
Armeria langei subsp. marizii
Limoniastrum monopetalum
Limonium algarvense
Limonium auriculae-ursifolium
Limonium diffusum
Limonium dodartii
Limonium echioides
Limonium ferulaceum
Limonium ovalifolium
Limonium sinuatum
Limonium virgatum
Limonium vulgare
Plumbago europaea
Emex spinosa
Fallopia convolvulus
Polygonum amphibium
Polygonum arenastrum
Polygonum aviculare
Polygonum bellardii
Polygonum bistorta subsp. bistorta
Polygonum equisetiforme
Polygonum hydropiper
Polygonum lapathifolium
Polygonum maritimum
Polygonum minus
Polygonum persicaria
Polygonum salicifolium
Rumex acetosa subsp. acetosa
Rumex acetosella subsp. angiocarpus
Rumex bucephalophorus subsp. hispanicus
Rumex bucephalophorus subsp. gallicus
Rumex conglomeratus
Rumex crispus
Rumex intermedius
Rumex obtusifolius
Rumex papillaris
Rumex pulcher subsp. woodsii
Rumex pulcher subsp. pulcher
Rumex roseus
Rumex suffruticosus
Rumex thyrsoides
Rumex induratus
Rumex palustris
Montia fontana subsp. amporitana
Montia fontana subsp. chondrosperma
Portulaca oleracea subsp. granulatostellulata
Portulaca oleracea subsp. oleracea
Tamarix africana var. africana
Tamarix africana var. fluminensis
Tamarix canariensis
Tamarix gallica
Tamarix mascatensis
Alisma lanceolatum
Alisma plantago-aquatica
Baldellia alpestris
Baldellia repens subsp. repens
Baldellia repens subsp. cavanillesii
Damasonium alisma
Damasonium bourgaei
Damasonium polyspermum
Sagittaria sagittifolia
Arisarum simorrhinum
Arum cylindraceum
Arum italicum subsp. italicum
Biarum arundanum
Biarum mendax
Lemna gibba
Lemna minor
Lemna trisulca
Spirodela polyrhiza
Spirodela punctata
Wolffia arrhiza
Butomus umbellatus
Hydrocharis morsus-ranae
Vallisneria spiralis
Najas marina subsp. marina
Najas minor
Triglochin barrelieri
Triglochin laxiflora
Triglochin maritima
Triglochin palustris
Triglochin striata
Groenlandia densa
Potamogeton crispus
Potamogeton gramineus
Potamogeton lucens
Potamogeton natans
Potamogeton nodosus var. nodosus
Potamogeton nodosus var. typicus
Potamogeton pectinatus
Potamogeton perfoliatus
Potamogeton polygonifolius
Potamogeton pusillus
Potamogeton trichoides
Potamogeton schweinfurthii
Cymodocea nodosa
Zannichellia obtusifolia
Zannichellia palustris
Zannichellia peltata
Ruppia cirrhosa
Ruppia drepanensis
Ruppia maritima
Zostera marina
Zostera noltii
Leucojum autumnale
Leucojum trichophyllum
Narcissus asturiensis
Narcissus bulbocodium subsp. obesus
Narcissus bulbocodium subsp. bulbocodium
Narcissus cavanillesii
Narcissus cyclamineus
Narcissus gaditanus
Narcissus papyraceus
Narcissus pseudonarcissus subsp. nobilis
Narcissus pseudonarcissus subsp. portensis
Narcissus pseudonarcissus subsp. major
Narcissus rupicola
Narcissus serotinus
Narcissus triandrus subsp. pallidulus
Narcissus triandrus subsp. triandrus
Pancratium maritimum
Allium ampeloprasum
Allium baeticum
Allium ericetorum
Allium guttatum subsp. sardoum
Allium massaessylum
Allium neapolitanum
Allium nigrum
Allium oleraceum
Allium paniculatum
Allium pruinatum
Allium roseum
Allium schmitzii
Allium schoenoprasum
Allium scorzonerifolium
Allium sphaerocephalon
Allium stearnii
Allium subvillosum
Allium victorialis
Allium vineale
Anthericum liliago
Aphyllanthes monspeliensis
Asparagus acutifolius
Asparagus albus
Asparagus aphyllus
Dipcadi serotinum subsp. serotinum
Hyacinthoides hispanica
Hyacinthoides paivae
Hyacinthoides non-scripta
Muscari comosum
Muscari neglectum
Ornithogalum arabicum
Ornithogalum broteroi
Ornithogalum concinnum
Ornithogalum gussonei
Ornithogalum narbonense
Ornithogalum orthophyllum subsp. baeticum
Ornithogalum pyrenaicum
Paradisea lusitanica
Polygonatum odoratum
Ruscus aculeatus
Scilla autumnalis
Scilla hyacinthoides
Scilla monophyllos
Scilla odorata
Scilla peruviana
Scilla ramburei
Scilla verna
Urginea maritima
Crocus carpetanus
